Type,PostCode,Borough,Area,Positioning,Date,Time,Description,Deaths
V1,SE15,Dulwich/Camberwell,Peckham,Willow Brook Road/Summit Road junction,27/06/1944,10:56,1 houses was demolished and there was 1 fire. Property over a 200 yards Square area badly damaged.,3
V1,SE15,Dulwich/Camberwell,Peckham,Green Hundred Road/Camelot Road,27/06/1944,12:04,"Number 55-69 and 42-62 Green Hundred Road were very badly damaged and all property in the area bounded by Old Kent Road , Peckham Park Road , Friary Road and Commercial way suffered some damage.",9
V1,SE15,Dulwich/Camberwell,Nunhead,Peckham Rye by Rye hill Park,27/06/1944,20:11,56 and 58 severely damaged. Remainder of Rye Hill Park and Peckham Rye slightly damaged.,1
V1,SE15,Dulwich/Camberwell,Peckham,Penance Road Willow Brook Road/Summit Road junction,28/06/1944,22:38,"The V1 struck close to the previous one in Willow Brook road the day before, increasing the degree of damage. A 3 inch gas main was damaged.",1
V1,SE15,Dulwich/Camberwell,Nunhead,Kimberley Avenue junction with Evelina Road N quadrant,30/06/1944,09:32,"The V1 demolished 67,69,71,79,81,83.85. severely damaged. Surrounding property in Evelina Road ,Grim wade Crescent, kirkwood road, Hollydale road slightly damage, slight damage to railway track. Persons rescued from Anderson shelters at 73-77 Kimberley Avenue",5
V1,SE15,Dulwich/Camberwell,Peckham,Between Stuart Road And Reynolds Road,01/07/1944,18:27,"This serious incident occurred when the V1 struck between Stuart and Reynolds Road . 16-36 Stuart Road and 9-17 Reynolds Road were demolished, There was a small fire. A further 50 houses were damaged by blast.",17
V1,SE15,Bermondsey,Bermondsey,Hatch am Street Ilderton Road /Record St NW Quadrant,02/07/1944,10:51,"It is recorded that a 2 storey building was demolished and that property bounded by Ilderton Road , Tustin Street, Penarth Street and Very road were damaged. The area had previously been badly hit by conventional bombing. This V1 fell on the border of Bermondsey and Dulwich /Camberwell. Although conformation exists by cross checking bomb maps and fire brigade reports no ARP record exists for either area. The dead are confirmed in the Bermondsey war dead book",8
V1,SE15,Dulwich/Camberwell,Peckham,Radnor Road,02/07/1944,11:14,10 houses were demolished and 40 badly damaged.,5
V1,SE15,Dulwich/Camberwell,Peckham,Costa Street,02/07/1944,11:50,3 houses were demolished and 30 badly damaged in Costa Street . 4 demolished and 30 badly damaged in Wag horn Street.,6
V1,SE15,Dulwich/Camberwell,Peckham,Peckham Park Road,03/07/1944,03:46,The V1 hit Peckham and Radnor Road very close to the incident the day before. 140-150 Peckham Park road were demolished and 30 houses damaged.,0
V1,SE15,Dulwich/Camberwell,Peckham,Between Clayton and Cicely Road,07/07/1944,23:59,6 houses were demolished and 80 badly damaged.,5
V1,SE15,Dulwich/Camberwell,Peckham,Copeland Road on LBSCR railway Bridge,12/07/1944,19:14,"6 houses demolished and 30 badly damaged. The bomb fell close to the down line at the Junction and destroyed the track and lifted the bridge above, demolished the whole of the central trestle except for one stanchion, left the bridge in a precarious state of suspense.",0
V1,SE15,Dulwich/Camberwell,Peckham,Commercial way appx junction with Pentridge st,16/07/1944,11:10,6 houses demolished and 30 damaged.,2
V1,SE15,Dulwich/Camberwell,Peckham,Between Wood Road between 1-25 Harpers Road Mews,19/07/1944,12:03,13 houses were demolished.,6
V1,SE15,Dulwich/Camberwell,Peckham,Mckerell Road,19/07/1944,14:34,A building of 2 floors used as cattle food manufactures demolished.6 shops and houses demolished 50 damaged by blast small fire.,11
V1,SE15,Dulwich/Camberwell,Peckham,North end Frensham Street,22/07/1944,02:56,The V1 badly damaged a range of buildings 300 x 30 feet and 30 houses.,0
V1,SE15,Dulwich/Camberwell,Peckham,Bird in Bush Road Friary Street junction,22/07/1944,10:25,10 houses were demolished and 50 badly damaged.,1
V1,SE15,Dulwich/Camberwell,Peckham,Southampton Way West Side South of Dalwood Street junction,27/07/1944,19:32,6 houses and a garaged demolished.20 houses badly damaged. A building of 2 floor about 100 x 30 feet used as a food storage warehouse partly demolished and fire damaged.,0
V1,SE15,Dulwich/Camberwell,Peckham,SE end Kinsale Road,29/07/1944,14:24,The V1 demolished 4 houses and seriously damaged 4 others.,4
V1,SE15,Dulwich/Camberwell,Nunhead,Ivydale road/Inverton Road junction,12/08/1944,01:30,"10 houses demolished church and 20 houses damaged small fire in Ivydale 7 shops and houses church hall and 6 houses damaged in Inverton 20 houses damaged in Bellwood 20 houses damaged in Surrey rd Today the signs of the Flying bomb can still be seen. The church has recently been re-built , and number of sites still are occupied by pre-fabs.",2
V1,SE15,Dulwich/Camberwell,Peckham,Scilla Road Claude Road junction NW quadrant,13/08/1944,02:10,6 houses were demolished and 30 damaged.,2
V1,SE15,Dulwich/Camberwell,Peckham,LBSCR Railway by Bidwell St,15/08/1944,15:39,"There was severe damage to 120 feet of rail track and the bridge. 10 houses were demolished and 50 badly damaged. Property in area Queens Road , Lugard Road ,harders road slight damaged. There was also a small fire.",0
V1,SE15,Dulwich/Camberwell,Nunhead,Ivydale road/Opposite Cemetery West Side North of Limesford Road,17/08/1944,06:44,Sports pavilion destroyed 30 houses demolished 60 houses severe damage and surrounding property in the boundaries of Ivydale Limesford Linden grove slight damage .,3
V1,SE15,Dulwich/Camberwell,Nunhead,Athenlay Road/FernHolm Road Junction,15/10/1944,01:50,"This V1 occurred after the main attacks were over. : A report states : FLY coming in from the East,(which may have indicated and air launch or conventional launch from the Netherlands .) It impacted on a row of 2 storey terrace houses of poor construction with 9 inch walls, wood floors and slate roof erected about 60 years ago, at the Southern junction of Ferholme and Athenlay roads, causing demolition to 3 houses, damage beyond repair to 19 houses ,serious damaged to 60 houses. Damage calling for first aid repair to about 500 others within a radius of about 300 yards from the point of impact. Anderson shelters to rear of Fernholme Road badly damaged. There were 8 trapped casualties that had to be rescued This site today remains mainly undeveloped apart from one modern houses and some pre-fabs. Due to this fact the damage area is clearer to see than at most other V1 sites.",8
V2,SE15,Dulwich/Camberwell,Peckham,Hardcastle Street (was between Hill St and Marmont Road ),19/11/1944,07:05,This V2 hit Hardcastle Street in the centre of Peckham which was between Hill Street and Marmont Road .,9
V2,SE15,Dulwich/Camberwell,Camberwell,Azenby Road near railway,06/01/1945,22:40,"Severe damage to railway workshops. 15 Railway carriages badly damaged. A toilet paper factory and 150 houses damaged in Azenby Road , Lyndhurst Road, Chadwick Grove and Talgourd Road .",0
V2,SE15,Dulwich/Camberwell,Peckham,Waite St at Trafalgar Avenue junction,14/02/1945,10:00,"This very serious Rocket Attack occurred when the V2 struck Waite Street and the junction of Trafalgar Avenue Following details obtained from Camberwell ARP records : A LRR penetrated a 3 storey houses at the SW angle of Trafalgar Av with Waite Street, forming a crater at ground level about 40 feet across by 10 foot deep. Blast caused the complete demolishing of 12 4 storey 'neo Greek' type of terrace houses of poor construction erected about 90 years previously. Damage beyond repair to about 25 similar properties adjoining the crater and damage calling for first aid repairs to properties within a s radius of about 200 yards of the crater. Rescue operations were concerned with the release of 10 trapped casualties which were found by dogs. Initial casualties were 13 killed,28 seriously injured to Kings Guys St Olavï¿½s and Dulwich. 60 slight injuries to first aid post or nearby hospitals. Search proceeding for 10 missing or trapped persons In another report : all CD service made a prompt attendance but far too many vehicles were permitted to drive right up to the scene of the incident. The results was that in the narrow streets conditions for a time bordered on the chaotic and at least one occasion a loaded ambulance was unable to get away to hospital until other vehicles had reversed out of the way. The principal trouble was caused by a mobile 1st aid unit belonging to Camberwell council. Further congestion was caused through the apparent inability (or disinclination) of the police to clear the affected areas of sightseers. There were plenty of police but at the time of arrival only one road was roped off. Even though this was done civilians were allowed to pass the barrier without hindrance. The writer personally spoke to the police and suggested the sightseers should be cleared but the Inspector said he could do this until the parking situation had been attended to. For a time all police efforts were concentrated on removing a blast damaged lorry. Even when the writer left the site at 11.12 there were still may civilians looking on and no roads had been closed to the public. Had written note on bottom of report adds that this information should be treated as confidential .",18
