"ref", "position", "fatalities", "date", "time", "postcode", "borough", "area", "notes"
"p178, Brixton Water Lane", "Brixton water Lane/St Matthews Road", "6", "05/07/1944", "00:42", "SW2", "Lambeth", "Brixton", "The V1 struck at the junction of Water Lane And St Matthew Road. 10 houses were demolished and 30 damaged. The area today has been totally re-developed so it is not possible to ascertain the impact site"
"p178, Dumbarton Road", "Lyham Road by Dumbarton Road", "5", "18/06/1944", "12:45", "SW2", "Lambeth", "Brixton", "This V1 fell in Lyham Road between the Wall of Brixton prison and Dumbarton Road. 8 houses were demolished and 30 badly damaged."
"p178, Beechdale Road", "SE end of Beechdale Road", "9", "23/06/1944", "16:46", "SW2", "Lambeth", "Brixton", "The V1 fell at the South East end of Beechdale Road totally demolishing 12 houses and badly damaging 20. A further 12 were damaged in Endymion road."
"p179, Effra Parade", "Junction Effra Parade/Dalberg Road", "2", "19/07/1944", "04:06", "SW2", "Lambeth", "Brixton", "The V1 divested the area around the Effra Parad/Dalberg Road junction. 12 houses were demolished and 40 badly damaged. The area today has been totally re-developed with flats."
"p179, Brockwell Park", "Brockwell Park", "0", "13/07/1944", "17:48", "SW2", "Lambeth", "Herne Hill", "The V1 fell in Brockwell Park. No casualties were reported by the Fire Brigade an Open air Theatre and 50 houses were damaged by the blast."
"p179, Shakespeare Road"
"p179, Sunset Road"
"p179, Carver Road"
"p179, Stradella Road"
"p180, Dulwich Grove"
"p180, Dulwich Grove"
"p180, Dulwich Grove"
"p180, Dulwich Grove"
"p180, Dulwich Grove"
"p180, Lordship Lane"
"p181, Shawbury Road"
"p181, Kinsale Road"
"p181, Peckham Rye"
"p181, Peckham Rye"
"p181, Nunhead Grove"
"p181, Crystal Palace Road"
"p181, Hindmans Road"
"p181, Henslowe Road"
"p181, Underhill Road"
"p181, Mundania Road"
"p182, Rye Hill Park"
"p182, Reynolds Road"
"p182, Ivydale Road"
"p182, Avignon Road"
"p182, St Norbert Road"
"p182, Nash Road"
"p182, Iverton Road"
"p182, Fernholme Road"
"p182, Honor Oak"
"p182, Crofton Park"
"p182, Buckthorne Road"
"p183, Arica Road"
"p183, Braxfield Road"
"p183, Whitbread Road"
"p183, Whitbread Road"
"p183, Dalrymple Road"
"p183, Deptford Cemetery"
"p183, Breakspears Road"
"p183, Hilly Fields"
"p183, Nuding Close"
"p183, Ladywell"
"p183, Otford Crescent"
"p183, Crofton Park Road"
"p183, Ewhurst Road"
"p184, Algernon Road"
"p184, Brookbank Road"
"p184, Elmira Street"
"p184, Lewis Grove"
"p184, Veda Road"
"p184, Ermine Road"
"p184, Marsala Road"
"p184, Ladywell"
"p184, Ladywell"
"p184, Lewisham Park"
"p184, Thornford Road"
"p184, George Lane"
"p185, Blessington Road"
"p185, Blessington Road"
"p185, Mercator Road"
"p185, Leahurst Road"
"p185, Lenham Road"
"p185, Meadowcourt Road"
"p185, Springbank Road"
"p185, Fernbrook Road"
"p186, Manor Way"
"p186, Kidbrooke"
"p186, Kidbrooke"
"p186, Quaggy River"
"p186, Quaggy River"
"p187, Kidbrooke"
"p187, Birdbrook Road"
"p187, Brenley Gardens"
"p187, Whinyates Road"
"p188, Eltham"
"p188, Eltham Hill"
"p193, Kimber Road"
"p193, Bur Road"
"p193, Burr Road"
"p194, Duntshill Road"
"p194, Penwith Road"
"p194, Summerley Street"
"p194, Franche Court Road"
"p194, Wilna Road"
"p194, Furmage Street"
"p194, Openview"
"p195, Openview"
"p195, Brightman Road"
"p195, Earlsfield"
"p195, Lyford Road"
"p195, Wandsworth Common"
"p195, Nightingale Lane"
"p195, Sarsfeld Road"
"p195, Boundaries Road"
"p196, Gobsberton Road"
"p196, Boundaries Road"
"p196, Mayford Road"
"p196, Mayford Road"
"p196, Blandfield Road"
"p196, Rinaldo Road"
"p196, Balham Station Road"
"p196, Fernlea Road"
"p196, Elmfield Road"
"p196, Cloudesdale Road"
"p196, Balham High Road"
"p196, Streathbourne Road"
"p196, Huron Road"
"p197, Fontenoy Road"
"p197, Emmanuel Road"
"p197, Hoadly Road"
"p197, Bellasis Avenue", "Bellasis Avenue", "0", "13/08/1944", "07:57", "SW2", "Wandsworth", "Streatham", "21 people were injured by this V1 strike. It demolished 14 houses in Bellasis Avenue and badly damaged 50 in Bellasis Avenue,Criefell Avenue and Thornton Avenue. The road has been totally re-developed with 60's housing"
"p197, Barrhill Road", "Streatham Hill Corner of Barhill Road", "1", "03/07/1944", "06:36", "SW2", "Wandsworth", "Streatham", "The V1 struck the Streatham Hill theatre on the Barhill road side. It was partly demolished and surrounding property was badly damaged. The Theatre was re-built and is currently in use as a bingo hall. The re-built flank wall clearly shows the scars of the V1"
"p197, Atkins Road"
"p197, Atkins Avenue"
"p197, Montrell Road", "Streatham Place corner Montell[sic] Road", "0", "09/08/1944", "06:54", "SW2", "Wandsworth", "Streatham", "The V1 injured 24 people. 3 houses were demolished and 30 badly damaged in Montrell Road. 3 were demolished and 20 damaged in Tierney Road. A further 3 were demolished and 20 damaged in Streatham Place. Today post war housing fills the site but the tell tale signs of blanked off gable ends of once terraces housing is clear to see."
"p198, Holmewood Gardens"
