"Name","Description","ref","position","fatalities","date","time","postcode","borough","area","notes"
"V1.206","p108, Kensington Church Street","p108, Kensington Church Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.207","p108, Hornton Street","p108, Hornton Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.208","p108, De Vere Gardens","p108, De Vere Gardens",NA,NA,NA,NA,NA,NA,NA,NA
"V1.209","p108, Marloes Road","p108, Marloes Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.210","p109, Hyde Park","p109, Hyde Park",NA,NA,NA,NA,NA,NA,NA,NA
"V1.211","p109, Lancelot Place","p109, Lancelot Place",NA,NA,NA,NA,NA,NA,NA,NA
"V1.212","p109, Exhibition Road","p109, Exhibition Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.213","p109, Queen's Gate","p109, Queen's Gate",NA,NA,NA,NA,NA,NA,NA,NA
"V1.214","p109, Stanhope Mews East","p109, Stanhope Mews East",NA,NA,NA,NA,NA,NA,NA,NA
"V1.215","p109, Cromwell Road","p109, Cromwell Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.216","p109, Harrington Road","p109, Harrington Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.217","p110, Hyde Park",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.218","p110, Constitution Hill","p110, Constitution Hill",NA,NA,NA,NA,NA,NA,NA,NA
"V1.219","p110, Buckingham Palace Gardens","p110, Buckingham Palace Gardens",NA,NA,NA,NA,NA,NA,NA,NA
"V1.220","p111, Birdcage Walk. Putative: Landed on Guards Chapel, see Jones 'Most Secret War' p.424","p111, Birdcage Walk. Putative: Landed on Guards Chapel, see Jones 'Most Secret War' p.424",NA,NA,NA,NA,NA,NA,NA,NA
"V1.221","p111, Buckingham Gate","p111, Buckingham Gate",NA,NA,NA,NA,NA,NA,NA,NA
"V1.222","p111, Victoria Station","p111, Victoria Station",NA,NA,NA,NA,NA,NA,NA,NA
"V1.223","p111, Rutherford Street","p111, Rutherford Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.224","p111, Medway Street","p111, Medway Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.225","p111, Tufton Street","p111, Tufton Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.226","p112, Embankment (The Thames)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.227","p112, Embankment (The Thames)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.228","p112, Doon Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.229","p112, York Road","p112, York Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.230","p112, St. Thomas's Hospital","p112, St. Thomas's Hospital",NA,NA,NA,NA,NA,NA,NA,NA
"V1.231","p112, Archibishop's Park","p112, Archibishop's Park",NA,NA,NA,NA,NA,NA,NA,NA
"V1.232","p112, Lambeth Road","p112, Lambeth Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.233","p112, Lambeth Walk","p112, Lambeth Walk",NA,NA,NA,NA,NA,NA,NA,NA
"V1.234","p113, Union Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.235","p113, Great Guildford Street",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.236","p113, Swan Street","p113, Swan Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.237","p113, Harper Road","p113, Harper Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.238","p113, Bath Terrace","p113, Bath Terrace",NA,NA,NA,NA,NA,NA,NA,NA
"V1.239","p114, London Bridge (The Thames)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.240","p114, Tower Bridge (The Thames)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.241","p114, Tower Bridge (The Thames)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.242","p114, Snowsfields","p114, Snowsfields",NA,NA,NA,NA,NA,NA,NA,NA
"V1.243","p114, White's Grounds","p114, White's Grounds",NA,NA,NA,NA,NA,NA,NA,NA
"V1.244","p114, Druid Street","p114, Druid Street",NA,NA,NA,NA,NA,NA,NA,NA
"V1.245","p114, Riley Road","p114, Riley Road",NA,NA,NA,NA,NA,NA,NA,NA
"V1.246","p115, Tower Bridge (The Thames)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V1.247","p115, Queen Elizabeth Street","p115, Queen Elizabeth Street",NA,NA,NA,NA,NA,NA,NA,NA
